"recall","precision","tp","fp","fn","cs"
0.04,1,1,0,24,0.99841976
0.08,1,2,0,23,0.99735665
0.12,1,3,0,22,0.9971259
0.16,1,4,0,21,0.996357
0.2,1,5,0,20,0.99552613
0.24,1,6,0,19,0.9951899
0.28,1,7,0,18,0.99446553
0.32,1,8,0,17,0.9940399
0.36,1,9,0,16,0.99400467
0.4,1,10,0,15,0.9939032
0.44,1,11,0,14,0.99215454
0.48,1,12,0,13,0.9912884
0.52,1,13,0,12,0.99016666
0.56,1,14,0,11,0.9849782
0.6,1,15,0,10,0.984599
0.64,1,16,0,9,0.9841601
0.64,0.9411765,16,1,9,0.98328745
0.68,0.9444444,17,1,8,0.9794358
0.72,0.94736844,18,1,7,0.9791012
0.76,0.95,19,1,6,0.9607676
0.8,0.95238096,20,1,5,0.95697135
0.8,0.90909094,20,2,5,0.9340344
0.84,0.9130435,21,2,4,0.92281246
0.84,0.875,21,3,4,0.8315726
0.88,0.88,22,3,3,0.7056169
0.88,0.84615386,22,4,3,0.6924591
0.88,0.8148148,22,5,3,0.66414523
0.88,0.78571427,22,6,3,0.64849675
0.88,0.7586207,22,7,3,0.55855954
0.88,0.73333335,22,8,3,0.4654678
0.88,0.7096774,22,9,3,0.4652308
0.88,0.6875,22,10,3,0.4561925
0.88,0.6666667,22,11,3,0.37598503
0.88,0.64705884,22,12,3,0.33254394
0.88,0.62857145,22,13,3,0.24403192
0.88,0.6111111,22,14,3,0.22783303
0.88,0.5945946,22,15,3,0.21308795
0.88,0.57894737,22,16,3,0.19334447
0.92,0.5897436,23,16,2,0.1896393
0.92,0.575,23,17,2,0.15995695
0.92,0.5609756,23,18,2,0.1463882
0.96,0.5714286,24,18,1,0.122214146
0.96,0.55813956,24,19,1,0.114371195
0.96,0.54545456,24,20,1,0.086777695
0.96,0.53333336,24,21,1,0.083779626
0.96,0.5217391,24,22,1,0.0832166
0.96,0.5106383,24,23,1,0.08299005
0.96,0.5,24,24,1,0.08090791
0.96,0.48979592,24,25,1,0.07911737
0.96,0.48,24,26,1,0.07883404
0.96,0.47058824,24,27,1,0.07856914
0.96,0.46153846,24,28,1,0.077946745
0.96,0.4528302,24,29,1,0.06621748
0.96,0.44444445,24,30,1,0.064573854
0.96,0.43636364,24,31,1,0.06186711
0.96,0.42857143,24,32,1,0.059472095
0.96,0.42105263,24,33,1,0.05831871
0.96,0.41379312,24,34,1,0.05321398
